epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4977,2.31802,4.42543,2.36627,0.14468,0.04808,0.05224,0.01573,2.66127,4.46191,3.20288,0.00030006,0.00030006,0.00030006
2,20.9711,2.23201,3.20686,2.16461,0.05905,0.05769,0.03212,0.0117,2.99529,3.84961,3.20043,0.000610684,0.000610684,0.000610684
3,29.5787,2.23464,3.12593,2.22162,0.13203,0.02885,0.01842,0.00712,4.02505,6.26064,5.25543,0.000915036,0.000915036,0.000915036
4,37.758,2.26289,3.0431,2.24311,0.13203,0.02885,0.01842,0.00712,5.93606,5.77538,7.27119,0.00121312,0.00121312,0.00121312
5,45.9584,2.22264,3.08799,2.28241,0.00132,0.20055,0.00074,0.00025,3.65722,75.3066,4.93469,0.00150493,0.00150493,0.00150493
6,54.2205,2.21558,3.08036,2.28073,0.63015,0.00962,0.00831,0.00248,4.69943,5.21053,6.15538,0.00158448,0.00158448,0.00158448
7,63.2951,2.22661,3.10261,2.33268,0.00955,0.08654,0.00344,0.00084,3.51657,9.38064,5.37132,0.00156798,0.00156798,0.00156798
8,73.6527,2.20079,2.95517,2.25088,0.0004,0.06731,0.00034,0.0001,4.24027,4.88992,5.39835,0.00155148,0.00155148,0.00155148
9,82.4242,2.16271,2.91407,2.25101,0.04618,0.04808,0.01493,0.0038,3.09544,4.91096,3.31684,0.00153497,0.00153497,0.00153497
10,90.7451,2.18311,2.94656,2.23071,0.50371,0.06731,0.00116,0.00028,3.44908,8.38644,3.69752,0.00151847,0.00151847,0.00151847
11,99.7324,2.13919,2.89215,2.21431,0.56213,0.09615,0.02488,0.00578,3.03348,3.9109,3.16688,0.00150197,0.00150197,0.00150197
12,109.917,2.08902,2.82098,2.20243,0.04552,0.23489,0.03942,0.0114,2.70056,4.40433,2.94809,0.00148546,0.00148546,0.00148546
13,118.238,2.09905,2.74331,2.14822,0.61714,0.16773,0.0824,0.02361,2.52665,2.87332,2.86607,0.00146896,0.00146896,0.00146896
14,126.625,2.0443,2.68464,2.14626,0.0952,0.16346,0.0568,0.01973,2.45809,4.38703,2.73179,0.00145246,0.00145246,0.00145246
15,135.06,2.03292,2.62572,2.11463,0.59063,0.13462,0.05154,0.01249,2.62932,3.58696,3.02895,0.00143595,0.00143595,0.00143595
16,143.495,2.05206,2.59837,2.0958,0.4638,0.28709,0.28057,0.08053,2.43249,2.74921,2.67752,0.00141945,0.00141945,0.00141945
